,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
166,3466980,Caravelas,86,78.33,-17.71,100,26.35,78.33,-39.25,"{'lon': -39.25, 'lat': -17.71}",BR
167,546105,Nikolskoye,50,26.96,59.7,75,24.61,28.4,30.79,"{'lon': 30.79, 'lat': 59.7}",RU
168,1337612,Dhidhdhoo,77,81.97,6.88,67,12.97,81.97,73.1,"{'lon': 73.1, 'lat': 6.88}",MV
169,2487130,Sidi Ali,78,47.03,36.1,0,5.19,47.03,0.42,"{'lon': 0.42, 'lat': 36.1}",DZ
170,2962961,Letterkenny,98,42.96,54.95,97,3.49,42.96,-7.73,"{'lon': -7.73, 'lat': 54.95}",IE
171,1714733,Dingle,71,79.59,11.0,15,12.97,79.59,122.67,"{'lon': 122.67, 'lat': 11}",PH
172,551439,Kazanskaya,95,36.07,45.41,100,23.11,36.07,40.44,"{'lon': 40.44, 'lat': 45.41}",RU
173,2013392,Vilyuysk,96,-26.36,63.76,100,6.31,-26.36,121.62,"{'lon': 121.62, 'lat': 63.76}",RU
174,1794209,Simao,42,63.86,22.79,0,3.18,63.86,100.97,"{'lon': 100.97, 'lat': 22.79}",CN
175,296852,Erzin,34,41.05,36.96,0,9.17,48.2,36.2,"{'lon': 36.2, 'lat': 36.96}",TR
176,1510041,Biryusinsk,84,-1.26,55.96,100,5.68,-1.26,97.82,"{'lon': 97.82, 'lat': 55.96}",RU
177,2013375,Vitim,90,-17.27,59.45,100,9.75,-17.27,112.56,"{'lon': 112.56, 'lat': 59.45}",RU
178,5972762,Hay River,92,19.4,60.82,75,6.93,19.4,-115.8,"{'lon': -115.8, 'lat': 60.82}",CA
179,4031742,Egvekinot,99,-23.66,66.32,0,0.89,-23.66,-179.17,"{'lon': -179.17, 'lat': 66.32}",RU
180,3397763,Jacareacanga,97,73.56,-6.22,100,1.32,73.56,-57.75,"{'lon': -57.75, 'lat': -6.22}",BR
181,2012956,Yerbogachen,96,-19.41,61.28,100,6.06,-19.41,108.01,"{'lon': 108.01, 'lat': 61.28}",RU
182,6062563,Macamic,86,30.2,48.75,90,17.22,30.2,-79.0,"{'lon': -79, 'lat': 48.75}",CA
183,3407762,Amapa,89,70.25,1.0,40,4.54,70.25,-52.0,"{'lon': -52, 'lat': 1}",BR
184,2109528,Buala,73,84.63,-8.14,66,8.97,84.63,159.59,"{'lon': 159.59, 'lat': -8.14}",SB
185,1849892,Tottori,100,47.39,35.5,75,2.24,48.2,134.23,"{'lon': 134.23, 'lat': 35.5}",JP
186,58933,Garoowe,77,71.06,8.41,3,8.99,71.06,48.48,"{'lon': 48.48, 'lat': 8.41}",SO
187,2070998,Geraldton,50,75.2,-28.77,20,19.46,75.2,114.6,"{'lon': 114.6, 'lat': -28.77}",AU
188,4021858,Guerrero Negro,84,60.33,27.98,0,11.7,60.33,-114.06,"{'lon': -114.06, 'lat': 27.98}",MX
189,2618795,Klaksvik,100,46.4,62.23,100,10.29,46.4,-6.59,"{'lon': -6.59, 'lat': 62.23}",FO
190,1337610,Thinadhoo,82,83.88,0.53,0,17.11,83.88,72.93,"{'lon': 72.93, 'lat': 0.53}",MV
191,5262680,Merrill,100,29.14,45.18,90,9.64,30.2,-89.68,"{'lon': -89.68, 'lat': 45.18}",US
192,3178245,Comacchio,93,33.93,44.7,0,1.12,37.0,12.19,"{'lon': 12.19, 'lat': 44.7}",IT
193,1171991,Liliani,61,48.06,32.21,0,6.53,48.06,72.95,"{'lon': 72.95, 'lat': 32.21}",PK
194,3491161,Bull Savanna,84,60.78,17.89,8,9.84,60.78,-77.59,"{'lon': -77.59, 'lat': 17.89}",JM
195,2455290,Kidal,18,70.56,18.44,79,9.46,70.56,1.41,"{'lon': 1.41, 'lat': 18.44}",ML
196,934479,Grand Gaube,94,78.91,-20.01,75,11.41,79.0,57.66,"{'lon': 57.66, 'lat': -20.01}",MU
197,3461888,Guarapari,94,73.24,-20.67,90,2.24,73.4,-40.5,"{'lon': -40.5, 'lat': -20.67}",BR
198,2126785,Belaya Gora,93,-29.06,68.53,95,4.47,-29.06,146.42,"{'lon': 146.42, 'lat': 68.53}",RU
199,737021,Zonguldak,59,30.49,41.25,33,4.63,30.49,31.83,"{'lon': 31.83, 'lat': 41.25}",TR
200,2112802,Hasaki,93,40.53,35.73,90,6.93,42.8,140.83,"{'lon': 140.83, 'lat': 35.73}",JP
201,1526041,Atasu,91,21.87,48.68,100,28.45,21.87,71.64,"{'lon': 71.64, 'lat': 48.68}",KZ
202,933995,Souillac,94,78.87,-20.52,75,11.41,79.0,57.52,"{'lon': 57.52, 'lat': -20.52}",MU
203,3899695,Ancud,67,62.6,-41.87,0,10.29,62.6,-73.82,"{'lon': -73.82, 'lat': -41.87}",CL
204,1792916,Tianpeng,100,51.37,30.99,44,2.24,55.99,103.94,"{'lon': 103.94, 'lat': 30.99}",CN
205,3453060,Pontes e Lacerda,86,75.61,-15.23,100,3.24,75.61,-59.34,"{'lon': -59.34, 'lat': -15.23}",BR
206,3369157,Cape Town,59,66.0,-33.93,0,8.05,70.0,18.42,"{'lon': 18.42, 'lat': -33.93}",ZA
207,3190042,Stanisic,92,26.6,45.94,20,9.17,26.6,19.17,"{'lon': 19.17, 'lat': 45.94}",RS
208,197745,Garissa,75,76.95,-0.45,77,7.45,76.95,39.64,"{'lon': 39.64, 'lat': -0.45}",KE
209,1799491,Neijiang,59,53.38,29.58,66,2.68,53.38,105.06,"{'lon': 105.06, 'lat': 29.58}",CN
210,2017378,Rudnogorsk,94,-17.03,57.26,81,5.66,-17.03,103.75,"{'lon': 103.75, 'lat': 57.26}",RU
211,1490256,Talnakh,83,-4.0,69.49,75,20.13,-4.0,88.4,"{'lon': 88.4, 'lat': 69.49}",RU
212,3653967,Muisne,86,77.97,0.6,98,3.51,77.97,-80.03,"{'lon': -80.03, 'lat': 0.6}",EC
213,2136825,Isangel,78,82.4,-19.55,75,3.36,82.4,169.27,"{'lon': 169.27, 'lat': -19.55}",VU
214,1563281,Tuy Hoa,85,74.21,13.08,66,7.7,74.21,109.3,"{'lon': 109.3, 'lat': 13.08}",VN
215,1496511,Novyy Urengoy,94,1.29,66.08,100,17.6,1.29,76.63,"{'lon': 76.63, 'lat': 66.08}",RU
216,2236967,Soyo,92,77.97,-6.13,97,3.09,77.97,12.37,"{'lon': 12.37, 'lat': -6.13}",AO
217,1715335,Davila,78,75.2,18.47,20,6.93,75.2,120.58,"{'lon': 120.58, 'lat': 18.47}",PH
218,2028164,Deputatsky,91,-25.67,69.3,86,3.74,-25.67,139.9,"{'lon': 139.9, 'lat': 69.3}",RU
219,110690,Abha,87,52.66,18.22,75,6.93,53.6,42.51,"{'lon': 42.51, 'lat': 18.22}",SA
220,6050066,La Ronge,92,17.6,55.1,90,4.7,17.6,-105.28,"{'lon': -105.28, 'lat': 55.1}",CA
221,5973108,Hearst,96,26.89,49.68,100,6.89,26.89,-83.67,"{'lon': -83.67, 'lat': 49.68}",CA
